time,rank,symbol,name,price,chg,chg_pct,open,prev,volume,amount
11:15,4,2344,華邦電,13.65,0.85,1.49,14.3,13.45,392648,55.3646
11:15,5,6770,力積電,141.0,8.0,6.02,141.0,133.0,289104,401.6431
11:15,6,1802,台玻,71.3,5.6,4.85,73.6,68.0,280106,199.1149
11:15,7,2002,中鋼,75.3,7.9,2.73,81.2,73.3,254930,198.8970
11:15,8,2303,聯電,31.5,0.79,1.29,31.89,31.1,213604,67.3288
11:15,9,2324,仁寶,20.05,1.05,0.50,21.0,19.95,202506,41.4145
11:15,10,2312,金寶,130.5,5.5,1.95,133.5,128.0,193733,253.7568
11:15,11,2356,英業達,33.3,3.15,1.52,35.95,32.8,181959,62.2198
11:15,12,009816,凱基台灣TOP50,39.05,1.75,2.09,40.0,38.25,169887,67.0764
11:15,13,2337,旺宏,62.2,7.7,0.65,69.5,61.8,138629,89.4387
11:15,14,2408,南亞科,34.41,1.01,0.64,35.2,34.19,127134,44.0566
11:15,15,2489,瑞軒,14.8,0.22,0.61,14.93,14.71,118261,17.5287
11:15,16,2353,宏碁,161.5,11.0,6.95,162.0,151.0,113383,178.7815
11:15,17,00919,群益台灣精選高息,305.5,18.5,3.38,314.0,295.5,110211,335.8701
11:15,18,1303,南亞,51.2,6.8,0.59,57.7,50.9,103571,55.0268
11:15,19,2449,京元電子,31.6,3.05,1.28,34.25,31.2,94110,30.3354
11:15,20,6282,康舒,27.97,0.28,0.79,28.03,27.75,82059,22.8958
11:15,21,2887,台新新光金,90.8,6.6,3.42,94.4,87.8,79938,73.2433
11:15,22,2881,富邦金,21.85,0.61,1.63,22.11,21.5,79517,17.3705
11:15,23,2313,華通,342.5,40.5,11.20,348.5,308.0,74458,246.7377
11:15,24,2369,菱生,62.0,3.7,3.33,63.7,60.0,71923,44.5687
11:15,25,0050,元大台灣50,24.05,0.7,2.78,24.1,23.4,64397,15.3677
11:15,26,6239,力成,102.5,5.2,4.81,103.0,97.8,61915,62.0488
11:15,27,2481,強茂,283.0,16.5,0.18,299.0,282.5,61484,177.9313
11:15,28,2301,光寶科,18.77,0.45,1.24,18.99,18.54,57366,10.7629
11:15,29,00878,國泰永續高股息,37.7,1.05,2.86,37.7,36.65,56610,21.2290
11:15,30,4919,新唐,100.7,1.5,0.40,101.8,100.3,55561,56.1077
11:15,31,3042,晶技,342.0,16.5,5.07,342.0,325.5,55401,189.0269
11:15,32,00891,中信關鍵半導體,10.74,0.16,1.13,10.78,10.62,54823,5.8686
11:15,33,2367,燿華,147.0,11.5,8.49,147.0,135.5,50820,71.7851
11:15,34,2317,鴻海,237.0,17.5,5.80,241.5,224.0,50304,117.4376
11:15,35,00929,復華台灣科技優息,110.5,6.0,2.31,114.0,108.0,50299,55.9941
11:15,36,3189,景碩,48722.0,29.83,164223.78,9.3885,29.65,29,0.3500
11:15,37,00940,元大台灣價值高息,48363.0,24.08,201412.50,14.337,24.0,23,0.3800
11:15,38,3576,聯合再生,44387.0,230.0,20641.59,10.6199,214.0,206,24.0000
11:15,39,2484,希華,41740.0,212.0,20874.87,91.2219,199.0,182,30.0000
11:15,40,6443,元晶,41720.0,35.56,118389.07,83.4628,35.21,34,0.6400
11:15,41,8150,南茂,41344.0,260.5,15771.02,14.5819,260.5,243,17.5000
11:15,42,8110,華東,40911.0,10.76,383680.49,105.079,10.66,10,0.1700
11:15,43,0056,元大高股息,40155.0,70.2,60283.46,4.281,66.5,66,4.1000
11:15,44,2883,凱基金,37708.0,263.5,14487.23,25.4549,258.5,257,6.5000
11:15,45,3149,正達,37369.0,100.5,37083.08,97.2209,100.5,94,5.8000
11:15,46,4927,泰鼎-KY,35715.0,29.46,122169.77,35.0745,29.21,28,0.4900
11:15,47,9105,泰金寶-DR,35274.0,44.45,82219.72,10.3254,42.85,42,2.4500
11:15,48,2618,長榮航,34612.0,14.74,237130.98,14.8317,14.59,14,0.2800
11:15,49,1513,中興電,34286.0,707.0,4912.57,5.0112,684.0,654,53.0000
11:15,50,3711,日月光投控,34036.0,11.84,289075.87,231.5455,11.77,11,0.1000
11:15,51,1605,華新,33978.0,20.75,179677.78,4.0069,18.9,18,1.9000
11:15,52,2880,華南金,33834.0,56.4,63617.51,6.6652,53.1,50,6.0000
11:15,53,2014,中鴻,33047.0,45.7,77293.44,17.7663,42.7,42,3.4000
11:15,54,4526,東台,32977.0,88.1,37674.34,14.4563,87.3,83,4.3000
11:15,55,3673,TPK-KY,32916.0,21.75,152500.83,28.4594,21.57,21,0.5500
